"Field3"
"5 ★WonderfulAfter 4 days of use I can suggest everyone that it is a best phone in its class.*Best points:-*1)No lagging, great performance,2)Great camera;3)Good battery backup;4)great design;5)Depth mode available, like the iPhones portait mode;*Weak points:-*1)No LED indicator, only in case of low battery indication, which you can easily find in any 10k phone, don't know why moto do so;2)No call recorder or recorder but you can download one; I think its a problem with all stock android phones;...READ MOREBishal DebCertified Buyer4 Feb, 20183242459PermalinkReport Abuse"
"5 ★TerrificNice phone ,everything looks great 10/10****READ MOREFlipkart CustomerCertified Buyer30 Dec, 20171009249PermalinkReport Abuse"
"5 ★Classy productLove itREAD MORESurya prasad SanaCertified Buyer5 Jan, 2018557136PermalinkReport Abuse"
"5 ★SuperSpeed is good.nice displayREAD MOREElavenilCertified Buyer6 Feb, 2018120PermalinkReport Abuse"
"5 ★Terrific purchaseNice cam,nice product...10/10READ MOREFlipkart CustomerCertified Buyer4 Jan, 201825157PermalinkReport Abuse"
"5 ★Worth every pennybest service... and best productREAD MOREAman SinghCertified Buyer26 Mar, 20189117PermalinkReport Abuse"
"4 ★Nice productGood productREAD MOREFlipkart CustomerCertified Buyer20 Jan, 2018232PermalinkReport Abuse"
"5 ★Super!Aswm look. Nice features. Charging fastREAD MOREsovan pradhanCertified Buyer15 Jan, 2018171PermalinkReport Abuse"
"4 ★Value-for-moneyprocessor-5display-4.5battery-4 (fast charging 👍)camera-4 (saturation & shutter speed 👎)sound- 5 (loudness 👍)fingerprint-4 (response 👎)Before I'm buying ma G5s+ ......I know oll these but I brought dis becz the trust in moto. even I can go for note 5 pro but I didn't becz we oll know the space btwn Motorola nd a Chinese company. how can mnc manufacture a mobile with the same specs with same price.....simply using cheap components that's dey are using in MIwhatever it is G5s+ is the...READ MOREMohammed IqbalCertified Buyer7 Apr, 201810422PermalinkReport Abuse"
"5 ★Must buy!Good product Money is worth of paying .1.Pro2.Good screen display.3.Sleek 4.Good fabrication solidCor..1.Back camera lens is bit bulges out of body like I phone and other high end mobile2.We needed to use cover to protect that bulges camera.READ MOREVinay SCertified Buyer6 Jan, 20185912PermalinkReport Abuse"
"5 ★Perfect product!Everything is goodREAD MOREFlipkart CustomerCertified Buyer5 Jan, 2018429PermalinkReport Abuse"
"4 ★Good quality productNiceREAD MOREArnab Kumar  SahaCertified Buyer19 Jan, 2018409PermalinkReport Abuse"
"2 ★Bad productI had ordered Moto G 5s plus, I received it next day, however the box of the mobile was very old and was shocked to see the new brand handset with scratch guard already pasted, I doubt this handset was returned by some customer and same was given to me. Other than scratch guard the pin which is required to open sim card slot was missing and it seemed that the customer who had returned the handset had not returned the pin because there were some marks on the pin holder. Very dissatisfied by Fl...READ MOREALEX  FERNANDESCertified Buyer28 May, 2018243PermalinkReport Abuse"
"4 ★WonderfulGoodREAD MOREVINOD KUMARCertified Buyer17 Jan, 2018162PermalinkReport Abuse"
"4 ★Good quality productNice phoneREAD MOREPralhad BisenCertified Buyer20 Jan, 2018193PermalinkReport Abuse"
"5 ★Mind-blowing purchaseSuperb phone battery back up is very goodREAD MOREVishwajeet SinghCertified Buyer12 Jan, 2018255PermalinkReport Abuse"
"5 ★Mind-blowing purchaseits awesomeREAD MOREAnish BiswasCertified Buyer8 Jan, 2018246PermalinkReport Abuse"
"5 ★Fabulous!GoodREAD MORENirupama BeheraCertified Buyer9 Feb, 2018183PermalinkReport Abuse"
"5 ★BrilliantNice productREAD MOREArul Raj NADARCertified Buyer26 Feb, 2018132PermalinkReport Abuse"
"1 ★WorthlessIf you will face overheating​ issue than you won't get refund..so don't buy itREAD MOREFlipkart CustomerCertified Buyer21 Mar, 2018236PermalinkReport Abuse"
"5 ★TerrificAsome phone camera quality is very good and it's a very smart and comfortable...and easy ... I love it.... Thank you Flipkart.....READ MORERasmi Ranjan PradhanCertified Buyer19 Jan, 2018184PermalinkReport Abuse"
